Metoda,Accuracy,Precision,Recall,Dice Score
Adaptive threshold,87.30341617770509,73.19760919720201,87.17040870920776,0.7771872069072009
K-means,97.60176415722788,92.80309366269228,99.99613833976193,0.9609972609895635
Otsu,97.60176415722788,92.80309366269228,99.99613833976193,0.9609972609895635
Region Growing,86.97716539936617,95.8424035050771,60.614667227302185,0.7038342426910726
Watershed,93.40649530085332,98.95664192331489,77.29690353928046,0.8580756753802404
