Imagine,Metoda,Accuracy,Precision,Recall,Dice Score
bladder1.jpg,Otsu,99.49866462743692,94.76319632769585,99.99999999968547,0.9731119442941722
bladder1.jpg,Adaptive threshold,67.47683071583174,10.472095573372508,34.24230986967905,0.16039070096337518
bladder1.jpg,Watershed,97.48932843313509,99.98261096335268,72.33754796479732,0.8394255159938693
bladder1.jpg,K-means,99.49866462743692,94.76319632769585,99.99999999968547,0.9731119442941722
bladder1.jpg,Region Growing,92.99671292911883,58.55881380729433,78.00842926313767,0.6689863516201799
bladder2.jpeg,Otsu,99.70263788952886,99.22419186611377,99.99999999957964,0.9961058537790048
bladder2.jpeg,Adaptive threshold,81.08553157461057,67.04778740856796,98.84820715415171,0.7990010363384941
bladder2.jpeg,Watershed,89.10151878482957,98.7477022053151,72.26028836826995,0.8345267859289887
bladder2.jpeg,K-means,99.70263788952886,99.22419186611377,99.99999999957964,0.9961058537790048
bladder2.jpeg,Region Growing,79.66266986398135,99.99999999909649,46.525705157650485,0.6350517829972888
brain1.jpg,Otsu,95.7629969719662,79.24583171695186,99.99999999877676,0.8842139419129078
brain1.jpg,Adaptive threshold,86.14315964440415,55.16148904290098,76.67278287367985,0.6416214556216521
brain1.jpg,Watershed,91.35580138906542,97.62321741061739,47.730886849569046,0.6411436082760339
brain1.jpg,K-means,95.7629969719662,79.24583171695186,99.99999999877676,0.8842139419129078
brain1.jpg,Region Growing,85.80079555107596,99.99999998999999,12.232415901991041,0.2179836512237822
brain2.jpg,Otsu,99.98958333322918,99.96801944385824,99.99999999968009,0.9998400716463027
brain2.jpg,Adaptive threshold,91.44270833323807,79.20955229914513,99.9552128983654,0.8838130259516529
brain2.jpg,Watershed,99.02708333323018,99.97033912236769,97.040852234246,0.9848381546037712
brain2.jpg,K-means,99.98958333322918,99.96801944385824,99.99999999968009,0.9998400716463027
brain2.jpg,Region Growing,97.66979166656493,99.99999999965543,92.8436610253276,0.962890462996694
brain3.jpeg,Otsu,97.51281738266371,92.9425008655484,99.99999999953414,0.9634217494704829
brain3.jpeg,Adaptive threshold,97.5860595701636,93.45279720238875,99.60868349902353,0.9643259820480667
brain3.jpeg,Watershed,94.41680908188718,99.62102212506481,83.27121960270534,0.9071531883556874
brain3.jpeg,K-means,97.51281738266371,92.9425008655484,99.99999999953414,0.9634217494704829
brain3.jpeg,Region Growing,85.14556884752633,99.95741418874067,54.67250535705453,0.7068389195027951
brain5.jpeg,Otsu,99.99999999993648,99.99999999990266,99.99999999990266,0.9999999999995133
brain5.jpeg,Adaptive threshold,99.83740147221545,99.75140804029932,99.99999999990266,0.9987554933297366
brain5.jpeg,Watershed,99.13492502042064,99.9891501616626,98.68482535717195,0.9933270621430844
brain5.jpeg,K-means,99.99999999993648,99.99999999990266,99.99999999990266,0.9999999999995133
brain5.jpeg,Region Growing,82.65403987469583,99.9999999998674,73.41419726639012,0.846691890556284
femur1.jpeg,Otsu,91.28718153925193,82.67190152795875,99.99999999991978,0.9051408655239235
femur1.jpeg,Adaptive threshold,96.26917433636912,91.97543651961233,99.72564497489111,0.9569387566581901
femur1.jpeg,Watershed,82.76944110974964,99.999999999863,58.54912719800206,0.7385613308975675
femur1.jpeg,K-means,91.28718153925193,82.67190152795875,99.99999999991978,0.9051408655239235
femur1.jpeg,Region Growing,73.2379618513828,99.99999999977479,35.61962520854542,0.5252871795475368
liver1.jpeg,Otsu,93.62661400873328,83.4298090681818,99.96138340088669,0.9095048697870016
liver1.jpeg,Adaptive threshold,92.3190751215772,96.53926889673303,78.85355040998647,0.8680474077089663
liver1.jpeg,Watershed,97.47845926185052,99.35129410190747,92.73544540370915,0.9592943827039401
liver1.jpeg,K-means,93.62661400873328,83.4298090681818,99.96138340088669,0.9095048697870016
liver1.jpeg,Region Growing,90.71706778708658,99.94568995459692,71.06535473196827,0.8306686768189954
liver2.jpeg,Otsu,98.8777901097038,96.73048997725007,99.99999999984523,0.9833807661276702
liver2.jpeg,Adaptive threshold,92.97539770620455,94.36703128249431,83.8474038534646,0.8879674170463193
liver2.jpeg,Watershed,87.91928721169486,99.53243998819163,63.91395186866221,0.7784217817855764
liver2.jpeg,K-means,98.8777901097038,96.73048997725007,99.99999999984523,0.9833807661276702
liver2.jpeg,Region Growing,85.77352324573222,99.9621171119711,57.17248316945419,0.727412351950136
liver3.jpg,Otsu,99.75935570982844,99.05499583346138,99.99999999980881,0.9952525473546554
liver3.jpg,Adaptive threshold,67.8988233024364,43.999225706505754,99.95029155893327,0.6110107934055556
liver3.jpg,Watershed,95.37229938267005,94.74864315480659,86.44489054567165,0.9040649431138863
liver3.jpg,K-means,99.75935570982844,99.05499583346138,99.99999999980881,0.9952525473546554
liver3.jpg,Region Growing,96.11352237649686,99.99999999977399,84.59229519150254,0.9165311596970341
